Person Number,Grade,Location,Directorate,Cost Centre,Department,System Person Type,Employee Type,Assignment Category,Full-Time Equivalent,Payroll Status,Action Name,Action Reason,Termination Date,Enterprise Hire Date
181,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Resignation,Resignation,30/04/2019,03/05/1983
182,HEO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.889,Payroll,Retirement,Retirement (Age) At Min Age,31/12/2022,25/10/1982
183,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),18/10/2021,17/10/1983
184,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,0.92,Payroll,Retirement,Retirement (Age) Above Min Age,10/06/2021,27/06/1983
185,EO,Croydon,CE & CLR,1241,Graphic Design,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),14/03/2023,03/05/1983
186,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.53,Payroll,Retirement,Approved Early Retirement(AER),26/02/2020,13/06/1983
187,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.757,Payroll,Retirement,Retirement (Age) At Min Age,22/10/2021,17/10/1983
188,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Retirement,Actuarially Reduced Retirement,02/06/2020,25/04/1983
189,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,Part-time regular,0.486,Payroll,Retirement,Approved Early Retirement(AER),24/07/2022,25/04/1983
190,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Approved Early Retirement(AER),28/02/2021,09/05/1983
191,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Death,Death in Service,08/05/2018,09/04/1984
192,AO,Plymouth,Operations,725,Land Charges,Employee,Permanent,,0.608,Payroll,Retirement,Retirement (Age) Above Min Age,30/06/2021,18/07/1983
193,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,09/10/2020,17/01/1983
194,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.45,Payroll,Resignation,Resignation,12/04/2020,04/07/1983
195,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Retirement,Retirement (Age) Above Min Age,06/10/2020,25/04/1983
196,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2022,16/05/1983
197,HEO,Hull,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.61,Payroll,Retirement,Retirement (Age) At Min Age,09/02/2021,16/05/1983
198,SCS1,Plymouth,Operations,1490,Register Completion,Employee,Permanent,Senior Civil Servant,0.92,Payroll,Resignation,Resignation,05/01/2020,28/04/1983
199,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2022,18/04/1983
200,SEO+,Birkenhead,Data & Register Integrity Group,1540,Risk & Assurance,Employee,Permanent,Part-time regular,0.649,Payroll,Retirement,Approved Early Retirement(AER),31/03/2023,04/07/1983
201,HEO,Birkenhead,Operations,7630,Customer Support Centre Support Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,01/07/2022,20/06/1983
202,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) At Min Age,31/03/2022,03/10/1983
203,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,17/02/2022,31/05/1983
204,SEO,Peterborough,Transformation,1940,Local Land Charges,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),31/07/2021,24/10/1983
205,AO,Plymouth,DDat,1815,Office of DDaT,Employee,Permanent,,0.68,Payroll,Retirement,Medical,30/06/2020,18/07/1983
206,EO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Resignation,Resignation,31/03/2022,05/05/1987
207,EO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,Partial retirement,0.649,Payroll,Retirement,Retirement (Age) At Min Age,01/12/2020,27/06/1983
208,HEO,Plymouth,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Retirement,,29/11/2020,09/05/1983
209,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.676,Payroll,Retirement,Approved Early Retirement(AER),03/01/2020,09/01/1984
210,Grade 7,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Actuarially Reduced Retirement,05/04/2018,06/06/1983
211,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,,30/11/2021,14/11/1983
212,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Actuarially Reduced Retirement,10/10/2018,14/11/1983
213,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Retirement,Retirement (Age) At Min Age,30/12/2020,23/05/1983
214,HEO,Durham,Operations,1420,Customer Resolution Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,01/12/2022,03/10/1983
215,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,,0.46,Payroll,Retirement,Retirement (Age) Above Min Age,01/06/2021,24/10/1983
216,EO,Durham,Operations,1430,Customer Support Centre,Employee,Permanent,,0.689,Payroll,Retirement,,31/03/2020,16/05/1983
217,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Medical,23/11/2018,05/09/1983
218,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.81,Payroll,Retirement,Actuarially Reduced Retirement,28/02/2019,06/06/1983
219,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.68,Payroll,Retirement,,20/07/2020,20/06/1983
220,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.54,Payroll,Resignation,Resignation,08/11/2019,04/07/1983
221,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.676,Payroll,Resignation,Resignation,30/09/2019,17/10/1983
222,EO,Peterborough,Data & Register Integrity Group,1562,Lawyer Support,Employee,Permanent,,0.61,Payroll,Retirement,,31/05/2019,18/07/1983
223,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),29/05/2020,23/05/1983
224,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Approved Early Retirement(AER),30/04/2020,18/07/1983
225,HEO,Birkenhead,Operations,7630,Customer Support Centre Support Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,29/07/2022,20/06/1983
226,HEO,Plymouth,FBS,1370,Commercial,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,15/08/2022,20/07/1983
227,HEO,Croydon,CE & CLR,1241,External Communications,Employee,Permanent,,1,Payroll,Resignation,Resignation,11/11/2018,18/07/1983
228,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,,31/03/2022,19/09/1983
229,Grade 7,Plymouth,Transformation,1570,Programme and Project Management,Employee,Permanent,,1,Payroll,Retirement,,31/03/2022,15/07/2013
230,HEO,Plymouth,DDat,1825,DDAT Operations,Employee,Permanent,Partial retirement,0.743,Payroll,Death,Death in Service,20/02/2022,14/10/1985
231,SEO,Birkenhead,Operations,1472,Registration Services Central Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,30/06/2022,05/09/1983
232,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.57,Payroll,Retirement,Actuarially Reduced Retirement,31/10/2021,30/08/1983
233,SEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,17/10/2021,01/11/1983
234,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.432,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2022,03/10/1983
235,HEO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.417,Payroll,Retirement,Retirement (Age) At Min Age,31/05/2022,09/01/1984
236,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.68,Payroll,Retirement,Medical,31/01/2020,08/05/1984
237,SEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.608,Payroll,Retirement,Actuarially Reduced Retirement,31/07/2022,09/04/1984
238,EO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,09/08/2018,09/04/1984
239,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Death,Death in Service,21/01/2020,26/03/1984
240,HEO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Death,Death in Service,30/12/2022,20/02/1984
241,HEO,Croydon,Operations,1420,Customer Resolution Team,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Medical,31/07/2022,16/04/1984
242,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,31/12/2020,30/06/1986
243,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.76,Payroll,Retirement,Actuarially Reduced Retirement,30/06/2018,24/06/1985
244,EO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Retirement,Approved Early Retirement(AER),15/06/2021,08/10/1984
245,Grade 7 Lawyers,Durham,Data & Register Integrity Group,1560,Land Registration Lawyers,Employee,Permanent,,0.69,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2021,02/01/1985
246,EO,Plymouth,DDat,1827,DDAT Service Management,Employee,Permanent,,0.811,Payroll,Termination,Dismiss Ineff Attend (comp),13/05/2021,18/02/1987
247,SEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Approved Early Retirement(AER),31/07/2021,06/08/1984
248,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,,31/03/2022,17/09/1984
249,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Resignation,,31/03/2022,29/10/1984
250,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2022,22/10/1984
251,HEO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,30/04/2021,03/09/1984
252,SEO+,Plymouth,DDat,1829,Technical Architecture,Employee,Permanent,,1,Payroll,Resignation,Resignation,05/03/2020,24/06/1985
253,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,,0.65,Payroll,Resignation,Resignation,29/11/2019,24/06/1985
254,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,,0.76,Payroll,Retirement,Approved Early Retirement(AER),11/06/2019,24/09/1984
255,AO,Croydon,Operations,1420,Customer Resolution Team,Employee,Permanent,Full-time regular,1,Payroll,Termination,Dismiss Ineff Perf (comp),08/06/2022,19/11/1984
256,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.74,Payroll,Death,Death in Service,12/11/2018,05/11/1984
257,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) Above Min Age,05/10/2022,05/11/1984
258,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,,0.743,Payroll,Retirement,Retirement (Age) Above Min Age,31/01/2022,19/11/1984
259,HEO,Gloucester,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.568,Payroll,Resignation,Resignation,09/12/2022,21/01/1985
260,HEO,Plymouth,DDat,1827,DDAT Service Management,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Actuarially Reduced Retirement,31/01/2023,18/02/1987
261,SEO,Plymouth,DDat,1829,DDAT Architecture,Employee,Permanent,Part-time regular,0.865,Payroll,Resignation,,24/06/2022,24/06/1985
262,HEO,Durham,Operations,1470,Registration Services,Employee,Permanent,,0.608,Payroll,Retirement,Approved Early Retirement(AER),31/03/2022,28/01/1985
263,AO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,29/04/2022,05/11/1984
264,HEO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,0.89,Payroll,Retirement,Retirement (Age) Above Min Age,25/07/2018,28/05/1985
265,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,30/06/2022,09/09/1985
266,Grade 7,Croydon,FBS,2100,Facilities and Property Management,Employee,Permanent,,1,Payroll,Resignation,Resignation,14/10/2018,08/07/1985
267,SEO,Plymouth,DDat,1817,IT Solutions,Employee,Permanent,,0.61,Payroll,Resignation,Resignation,30/04/2018,02/09/1985
268,HEO,Coventry,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,31/10/2021,07/10/1985
269,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),08/07/2022,06/01/1986
270,EO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Resignation,Resignation,14/06/2021,21/10/1985
271,EO,Durham,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) Above Min Age,22/11/2018,30/06/1986
272,SEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,31/03/2023,21/10/1985
273,HEO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Retirement,Retirement (Age) At Min Age,11/01/2019,04/11/1985
274,HEO,Fylde,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.568,Payroll,Resignation,Resignation,30/09/2022,07/10/1985
275,HEO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Termination,Dismiss Ineff Attend (comp),14/04/2020,30/06/1986
276,EO,Birkenhead,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.568,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2023,30/06/1986
277,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.486,Payroll,Retirement,Retirement (Age) Above Min Age,03/01/2022,02/04/1987
278,SEO+,Swansea,Human Resources,1233,HR Operations,Employee,Permanent,,1,Payroll,Retirement,Medical,31/10/2021,15/09/1986
279,HEO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.667,Payroll,Retirement,,01/06/2022,14/04/1986
280,EO,Swansea,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Retirement (Age) At Min Age,30/04/2022,27/05/1986
281,EO,Croydon,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Death,Death in Service,20/12/2021,21/04/1986
282,EO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Full-time regular,1,Payroll,Retirement,Approved Early Retirement(AER),31/05/2022,27/04/1987
283,HEO,Weymouth,Operations,1470,Registration Services,Employee,Permanent,Partial retirement,0.61,Payroll,Retirement,Retirement (Age) Above Min Age,31/07/2020,16/06/1986
284,AO,Plymouth,Operations,1420,Customer Resolution Team,Employee,Permanent,Part-time regular,0.811,Payroll,Retirement,Retirement (Age) Above Min Age,31/03/2023,09/06/1986
285,HEO,Plymouth,DDat,1827,DDAT Service Management,Employee,Permanent,,0.649,Payroll,Resignation,Resignation,31/10/2021,23/06/1986
286,EO,Fylde,Operations,1470,Registration Services,Employee,Permanent,,1,Payroll,Termination,Dismiss Ineff Attend (comp),20/12/2021,02/04/1987
287,EO,Peterborough,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.649,Payroll,Retirement,Retirement (Age) Above Min Age,30/09/2022,27/07/1987
288,EO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.649,Payroll,Resignation,,31/10/2022,20/10/1986
289,SEO+,Coventry,FBS,2100,Facilities and Property Management,Employee,Permanent,Full-time regular,1,Payroll,Resignation,Resignation,04/09/2022,20/10/1986
290,HEO,Nottingham,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,,29/04/2022,29/06/1987
291,EO,Croydon,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.667,Payroll,Retirement,Retirement (Age) At Min Age,31/03/2023,15/12/1986
292,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.49,Payroll,Retirement,Retirement (Age) Above Min Age,16/08/2018,13/10/1986
293,SEO,Telford,Operations,1470,Registration Services,Employee,Permanent,,0.61,Payroll,Retirement,Actuarially Reduced Retirement,30/06/2018,13/10/1986
294,HEO,Telford,Operations,1470,Registration Services,Employee,Permanent,Part-time regular,0.811,Payroll,Resignation,,30/09/2022,01/12/1986
